2step/britishgarage	2-Step/British Garage
ampop	AM Pop
aboriginalrock	Aboriginal Rock
acidhouse	Acid House
acidjazz	Acid Jazz
acidrock	Acid Rock
acidtechno	Acid Techno
acousticblues	Acoustic Blues
acousticchicagoblues	Acoustic Chicago Blues
acousticlouisianablues	Acoustic Louisiana Blues
acousticmemphisblues	Acoustic Memphis Blues
acousticneworleansblues	Acoustic New Orleans Blues
acoustictexasblues	Acoustic Texas Blues
adultalternativepop	Adult Alternative Pop
adultalternativepop/rock	Adult Alternative Pop/Rock
adultcontemporary	Adult Contemporary
africanfolk	African Folk
africanjazz	African Jazz
afrobeat	Afro-Beat
afrobrazilian	Afro-Brazilian
afrocuban	Afro-Cuban
afrocubanjazz	Afro-Cuban Jazz
afroperuvian	Afro-Peruvian
afropop	Afro-Pop
albumrock	Album Rock
altcountry	Alt-Country
alternative	Alternative
alternativeccm	Alternative CCM
alternativecountry	Alternative Country
alternativecountryrock	Alternative Country-Rock
alternativedance	Alternative Dance
alternativefolk	Alternative Folk
alternativemetal	Alternative Metal
alternativepop	Alternative Pop
alternativepop/rock	Alternative Pop/Rock
alternativerap	Alternative Rap
alternativesinger/songwriter	Alternative Singer/Songwriter
ambient	Ambient
ambientbreakbeat	Ambient Breakbeat
ambientdub	Ambient Dub
ambienthouse	Ambient House
ambientpop	Ambient Pop
ambienttechno	Ambient Techno
americanpunk	American Punk
americantradrock	American Trad Rock
americanunderground	American Underground
americana	Americana
anarchistpunk	Anarchist Punk
andalusclassical	Andalus Classical
andeanfolk	Andean Folk
antifolk	Anti-Folk
apala	Apala
arenarock	Arena Rock
armenian	Armenian
artrock	Art-Rock
asianfolk	Asian Folk
asianpop	Asian Pop
aussierock	Aussie Rock
australasia	Australasia
avantgardejazz	Avant-Garde Jazz
avantgardemusic	Avant-Garde Music
avantprog	Avant-Prog
bachata	Bachata
bakersfieldsound	Bakersfield Sound
ballet	Ballet
ballroomdance	Ballroom Dance
bandmusic	Band Music
banda	Banda
barband	Bar Band
baroquepop	Baroque Pop
bassmusic	Bass Music
bava	Bava
beach	Beach
beguine	Beguine
beguinemoderne	Beguine Moderne
beguinevide	Beguine Vide
belair	Belair
bellydancing	Belly Dancing
bhangra	Bhangra
bigband	Big Band
bigbeat	Big Beat
bikutsi	Bikutsi
blaxploitation	Blaxploitation
blueeyedsoul	Blue-Eyed Soul
bluebeat	Bluebeat
bluegrass	Bluegrass
bluegrassgospel	Bluegrass-Gospel
blues	Blues
bluesgospel	Blues Gospel
bluesrevival	Blues Revival
bluesrock	Blues-Rock
bolero	Bolero
bollywood	Bollywood
boogaloo	Boogaloo
boogierock	Boogie Rock
boogiewoogie	Boogie-Woogie
bop	Bop
bossanova	Bossa Nova
brazilianfolk	Brazilian Folk
brazilianjazz	Brazilian Jazz
brazilianpop	Brazilian Pop
brillbuildingpop	Brill Building Pop
britishblues	British Blues
britishdancebands	British Dance Bands
britishfolk	British Folk
britishfolkrock	British Folk-Rock
britishinvasion	British Invasion
britishisles	British Isles
britishmetal	British Metal
britishpsychedelia	British Psychedelia
britishpunk	British Punk
britishrap	British Rap
britishtradrock	British Trad Rock
britpop	Britpop
brokenbeat	Broken Beat
browneyedsoul	Brown-Eyed Soul
bubblegum	Bubblegum
bulgarianfolk	Bulgarian Folk
c86	C-86
cadence	Cadence
calypso	Calypso
canterburyscene	Canterbury Scene
caribbean	Caribbean
carnatic	Carnatic
celebrity	Celebrity
celtic	Celtic
celticfolk	Celtic Folk
celticfusion	Celtic Fusion
celticgospel	Celtic Gospel
celticnewage	Celtic New Age
celticpop	Celtic Pop
celticrock	Celtic Rock
centralasia	Central Asia
centraleurope	Central Europe
ceremonial	Ceremonial
chacha	Cha-Cha
chamberjazz	Chamber Jazz
chambermusic	Chamber Music
chamberpop	Chamber Pop
chants	Chants
charanga	Charanga
chassidic	Chassidic
chicagoblues	Chicago Blues
chicagosoul	Chicago Soul
chimurenga	Chimurenga
choral	Choral
chouvalbwa	Chouval Bwa
christianmetal	Christian Metal
christianpunk	Christian Punk
christianrap	Christian Rap
christianrock	Christian Rock
classicfemaleblues	Classic Female Blues
classicjazz	Classic Jazz
classical	Classical
classicalmusic	Classical Music
closeharmony	Close Harmony
club	Club
club/dance	Club/Dance
cocktail	Cocktail
collegerock	College Rock
comedyrap	Comedy Rap
comedyrock	Comedy Rock
compas	Compas
concerto	Concerto
conjunto	Conjunto
contemporarybluegrass	Contemporary Bluegrass
contemporaryblues	Contemporary Blues
contemporaryceltic	Contemporary Celtic
contemporarycountry	Contemporary Country
contemporaryflamenco	Contemporary Flamenco
contemporaryjazz	Contemporary Jazz
contemporarypop	Contemporary Pop
contemporarypop/rock	Contemporary Pop/Rock
contemporaryr&b	Contemporary R&B
contemporaryreggae	Contemporary Reggae
contemporarysinger/songwriter	Contemporary Singer/Songwriter
continentaljazz	Continental Jazz
cool	Cool
corrido	Corrido
country	Country
countryblues	Country Blues
countryboogie	Country Boogie
countrycomedy	Country Comedy
countrygospel	Country Gospel
countrysoul	Country Soul
countryfolk	Country-Folk
countrypop	Country-Pop
countryrock	Country-Rock
cowboy	Cowboy
cowpunk	Cowpunk
crossoverjazz	Crossover Jazz
cuatro	Cuatro
cubanjazz	Cuban Jazz
cubanpop	Cuban Pop
cumbia	Cumbia
dj/toasting	DJ/Toasting
dance	Dance
dancebands	Dance Bands
dancepop	Dance-Pop
dancehall	Dancehall
danzon	Danzon
darkambient	Dark Ambient
deathmetal	Death Metal
deepfunk	Deep Funk
deepfunkrevival	Deep Funk Revival
deepsoul	Deep Soul
deltablues	Delta Blues
detroitblues	Detroit Blues
detroitrock	Detroit Rock
detroittechno	Detroit Techno
dhrupad	Dhrupad
dimotiko	Dimotiko
dirtyblues	Dirty Blues
dirtyrap	Dirty Rap
dirtysouth	Dirty South
disco	Disco
dixieland	Dixieland
djabdong	Djabdong
doowop	Doo Wop
doommetal	Doom Metal
downbeat	Downbeat
downtempo	Downtempo
dreampop	Dream Pop
drill'n'bass	Drill'n'bass
drinkingsongs	Drinking Songs
drum'n'bass	Drum'n'bass
dub	Dub
dubpoetry	Dub Poetry
earlyamericanblues	Early American Blues
earlybritishpop/rock	Early British Pop/Rock
earlyjazz	Early Jazz
earlypop	Early Pop
earlypop/rock	Early Pop/Rock
earlyr&b	Early R&B
eastcoastblues	East Coast Blues
eastcoastrap	East Coast Rap
easterneurope	Eastern Europe
easterneuropeantraditions	Eastern European Traditions
electricblues	Electric Blues
electricchicagoblues	Electric Chicago Blues
electriccountryblues	Electric Country Blues
electricdeltablues	Electric Delta Blues
electricharmonicablues	Electric Harmonica Blues
electricmemphisblues	Electric Memphis Blues
electrictexasblues	Electric Texas Blues
electro	Electro
electroindustrial	Electro-Industrial
electrojazz	Electro-Jazz
electrotechno	Electro-Techno
electronic	Electronic
electronica	Electronica
emo	Emo
emopop	Emo-Pop
eurodance	Euro-Dance
europop	Euro-Pop
eurorock	Euro-Rock
europeanfolk	European Folk
experimental	Experimental
experimentalambient	Experimental Ambient
experimentalbigband	Experimental Big Band
experimentaldub	Experimental Dub
experimentalelectro	Experimental Electro
experimentaljungle	Experimental Jungle
experimentalrock	Experimental Rock
experimentaltechno	Experimental Techno
fado	Fado
fareast	Far East
filmscore	Film Score
fingerpickedguitar	Finger-Picked Guitar
flamenco	Flamenco
folk	Folk
folkblues	Folk-Blues
folkpop	Folk-Pop
folkrock	Folk-Rock
foreignlanguagerock	Foreign Language Rock
forro	Forro
fratrock	Frat Rock
freakbeat	Freakbeat
freefunk	Free Funk
freeimprovisation	Free Improvisation
freejazz	Free Jazz
freestyle	Freestyle
frenchpop	French Pop
frenchrock	French Rock
fuji	Fuji
funk	Funk
funkmetal	Funk Metal
funkybreaks	Funky Breaks
fusion	Fusion
gfunk	G-Funk
gabba	Gabba
gamelan	Gamelan
gangstarap	Gangsta Rap
garage	Garage
garagepunk	Garage Punk
garagerap/grime	Garage Rap/Grime
garagerock	Garage Rock
garagerockrevival	Garage Rock Revival
georgianchoir	Georgian Choir
giddha	Giddha
girlgroups	Girl Groups
glamrock	Glam Rock
glitch	Glitch
glitter	Glitter
gogo	Go-Go
goatrance	Goa Trance
goldenage	Golden Age
gothmetal	Goth Metal
gothrock	Goth Rock
greekfolk	Greek Folk
grindcore	Grindcore
groove	Groove
grunge	Grunge
guaguancó	Guaguancó
guitarvirtuoso	Guitar Virtuoso
gwoka	Gwo Ka
gypsy	Gypsy
hairmetal	Hair Metal
happyhardcore	Happy Hardcore
hardbop	Hard Bop
hardrock	Hard Rock
hardcorepunk	Hardcore Punk
hardcorerap	Hardcore Rap
hardcoretechno	Hardcore Techno
harmonicablues	Harmonica Blues
hawaiianpop	Hawaiian Pop
heartlandrock	Heartland Rock
heavymetal	Heavy Metal
hebrew	Hebrew
hinrg	Hi-NRG
highlife	Highlife
hiphop	Hip-Hop
hongkongpop	Hong Kong Pop
honkytonk	Honky Tonk
hotrod	Hot Rod
hotrodrevival	Hot Rod Revival
house	House
hungarianfolk	Hungarian Folk
idm	IDM
illbient	Illbient
indianclassical	Indian Classical
indianpop	Indian Pop
indieelectronic	Indie Electronic
indiepop	Indie Pop
indierock	Indie Rock
industrial	Industrial
industrialdance	Industrial Dance
industrialdrum'n'bass	Industrial Drum'n'Bass
industrialmetal	Industrial Metal
instrumentalcountry	Instrumental Country
instrumentalrock	Instrumental Rock
international	International
internationalpop	International Pop
inuit	Inuit
irishfolk	Irish Folk
italianpop	Italian Pop
jpop	J-Pop
jaipongan	Jaipongan
jambands	Jam Bands
janglepop	Jangle Pop
japaneserock	Japanese Rock
jazz	Jazz
jazzblues	Jazz Blues
jazzfunk	Jazz-Funk
jazzhouse	Jazz-House
jazzpop	Jazz-Pop
jazzrap	Jazz-Rap
jazzrock	Jazz-Rock
jewishfolk	Jewish Folk
jewishmusic	Jewish Music
jibaro	Jibaro
jit	Jit
jive	Jive
joik	Joik
jugband	Jug Band
juju	Juju
jukejointblues	Juke Joint Blues
jumpblues	Jump Blues
jungle	Jungle
jungle/drum'n'bass	Jungle/Drum'n'bass
junkanoo	Junkanoo
kabuki	Kabuki
kecak	Kecak
klezmer	Klezmer
krautrock	Kraut Rock
l.a.punk	L.A. Punk
laika	Laika
lambada	Lambada
latin	Latin
latinamerica	Latin America
latinbigband	Latin Big Band
latinccm	Latin CCM
latindance	Latin Dance
latinfolk	Latin Folk
latinfreestyle	Latin Freestyle
latinjazz	Latin Jazz
latinpop	Latin Pop
latinrap	Latin Rap
latinrock	Latin Rock
latinsoul	Latin Soul
leftfieldhiphop	Left-Field Hip-Hop
leftfieldhouse	Left-Field House
lofi	Lo-Fi
louisianablues	Louisiana Blues
loversrock	Lovers Rock
mbase	M-Base
mpb	MPB
macapatpoetry	Macapat Poetry
madchester	Madchester
mainstreamjazz	Mainstream Jazz
makossa	Makossa
mambo	Mambo
mantras	Mantras
marabi	Marabi
mariachi	Mariachi
mathrock	Math Rock
mbalax	Mbalax
mbaqanga	Mbaqanga
mbube	Mbube
mbutichoral	Mbuti Choral
mediterranean	Mediterranean
memphisblues	Memphis Blues
memphissoul	Memphis Soul
mento	Mento
merengue	Merengue
merenhouse	Merenhouse
merseybeat	Merseybeat
microhouse	Microhouse
microsound	Microsound
middleeast	Middle East
midwestrap	Midwest Rap
minijazz	Mini Jazz
minimaltechno	Minimal Techno
mod	Mod
modrevival	Mod Revival
modalmusic	Modal Music
modernacousticblues	Modern Acoustic Blues
modernbigband	Modern Big Band
moderncreative	Modern Creative
moderndeltablues	Modern Delta Blues
modernelectricblues	Modern Electric Blues
modernelectricchicagoblues	Modern Electric Chicago Blues
modernelectrictexasblues	Modern Electric Texas Blues
modernson	Modern Son
motown	Motown
musette	Musette
nashvillesound/countrypolitan	Nashville Sound/Countrypolitan
neoclassicalmetal	Neo-Classical Metal
neoelectro	Neo-Electro
neoglam	Neo-Glam
neoprog	Neo-Prog
neopsychedelia	Neo-Psychedelia
neosoul	Neo-Soul
neotraditional	Neo-Traditional
neotraditionalfolk	Neo-Traditional Folk
neotraditionalistcountry	Neo-Traditionalist Country
newjackswing	New Jack Swing
neworleans	New Orleans
neworleansblues	New Orleans Blues
neworleansbrassbands	New Orleans Brass Bands
neworleansjazz	New Orleans Jazz
neworleansjazzrevival	New Orleans Jazz Revival
neworleansr&b	New Orleans R&B
newromantic	New Romantic
newtraditionalist	New Traditionalist
newwave	New Wave
newwaveofbritishheavymetal	New Wave of British Heavy Metal
newwave/postpunkrevival	New Wave/Post-Punk Revival
newyorkblues	New York Blues
newyorkpunk	New York Punk
newyorksalsa	New York Salsa
newzealandrock	New Zealand Rock
newbeat	Newbeat
nissiotiko	Nissiotiko
nowave	No Wave
noh	Noh
noise	Noise
noisepop	Noise Pop
noiserock	Noise-Rock
nonwesternclassicalmusic	Non-Western Classical Music
nordictraditions	Nordic Traditions
norteño	Norteño
northernsoul	Northern Soul
noveltyragtime	Novelty Ragtime
numetal	Nu Metal
nubreaks	Nu Breaks
nuevacancion	Nueva Cancion
nuevatrova	Nueva Trova
nyahbinghi	Nyahbinghi
obscuro	Obscuro
oi!	Oi!
oldschoolrap	Old-School Rap
oldtimey	Old-Timey
omutibo	Omutibo
ondagrupera	Onda Grupera
opera	Opera
orchestral	Orchestral
outlawcountry	Outlaw Country
pachanga	Pachanga
paisleyunderground	Paisley Underground
panglobal	Pan-Global
partyrap	Party Rap
partysoca	Party Soca
peruvianfolk	Peruvian Folk
phillysoul	Philly Soul
pianoblues	Piano Blues
piedmontblues	Piedmont Blues
pipebands	Pipe Bands
plena	Plena
politicalrap	Political Rap
politicalreggae	Political Reggae
pop	Pop
popidol	Pop Idol
popmetal	Pop-Metal
poprap	Pop-Rap
popsoul	Pop-Soul
poprock	Pop-rock
postbop	Post-Bop
postdisco	Post-Disco
postgrunge	Post-Grunge
posthardcore	Post-Hardcore
postpunk	Post-Punk
postrock	Post-Rock
powermetal	Power Metal
powerpop	Power Pop
prewarblues	Pre-War Blues
prewarcountryblues	Pre-War Country Blues
prewargospelblues	Pre-War Gospel Blues
progrock	Prog-Rock
progressivebigband	Progressive Big Band
progressivebluegrass	Progressive Bluegrass
progressivecountry	Progressive Country
progressivehouse	Progressive House
progressivejazz	Progressive Jazz
progressivemetal	Progressive Metal
progressivetrance	Progressive Trance
protopunk	Proto-Punk
psychedelic	Psychedelic
psychedelicpop	Psychedelic Pop
psychedelicsoul	Psychedelic Soul
psychobilly	Psychobilly
pubrock	Pub Rock
punk	Punk
punkblues	Punk Blues
punkmetal	Punk Metal
punkrevival	Punk Revival
punkpop	Punk-Pop
pygmy	Pygmy
qawwali	Qawwali
quadrille	Quadrille
quechua	Quechua
queercore	Queercore
quietstorm	Quiet Storm
r&b	R&B
raga	Raga
ragga	Ragga
ragtime	Ragtime
rai	Rai
ranchera	Ranchera
rap	Rap
rapmetal	Rap-Metal
raprock	Rap-Rock
rapso	Rapso
rave	Rave
reggae	Reggae
reggaegospel	Reggae Gospel
reggaepop	Reggae-Pop
reggaeton	Reggaeton
rembetika	Rembetika
retroswing	Retro Swing
retrorock	Retro-Rock
retrosoul	Retro-Soul
riotgrrrl	Riot Grrrl
rock	Rock
rock&roll	Rock & Roll
rockenespañol	Rock en Español
rockabilly	Rockabilly
rockabillyrevival	Rockabilly Revival
rocksteady	Rocksteady
rodeo	Rodeo
roots	Roots
rootsreggae	Roots Reggae
rootsrock	Roots Rock
rumba	Rumba
sadcore	Sadcore
salsa	Salsa
samba	Samba
scandinavia	Scandinavia
scandinavianmetal	Scandinavian Metal
scottishfolk	Scottish Folk
screamo	Screamo
sharki	Sharki
shibuyakei	Shibuya-Kei
shoegaze	Shoegaze
show/musical	Show/Musical
singer	Singer
singer/songwriter	Singer/Songwriter
ska	Ska
skarevival	Ska Revival
skapunk	Ska-Punk
skatepunk	Skatepunk
slackkeyguitar	Slack-Key Guitar
slideguitarblues	Slide Guitar Blues
slowcore	Slowcore
sludgemetal	Sludge Metal
smoothjazz	Smooth Jazz
smoothreggae	Smooth Reggae
smoothsoul	Smooth Soul
soca	Soca
softrock	Soft Rock
son	Son
sonero	Sonero
songster	Songster
songwriter	Songwriter
sophistipop	Sophisti-Pop
soukous	Soukous
soul	Soul
souljazz	Soul Jazz
soulblues	Soul-Blues
south	South
southasia	South Asia
southpacific	South Pacific
south/easterneuropeantraditions	South/Eastern European Traditions
southeastasia	Southeast Asia
southernrap	Southern Rap
southernrock	Southern Rock
southernsoul	Southern Soul
spacerock	Space Rock
speedmetal	Speed Metal
spirituals	Spirituals
spouge	Spouge
squaredance	Square Dance
st.louisblues	St. Louis Blues
standards	Standards
steelband	Steel Band
stonermetal	Stoner Metal
straightedge	Straight-Edge
stride	Stride
stringbands	String Bands
structuredimprovisation	Structured Improvisation
sunshinepop	Sunshine Pop
surf	Surf
surfrevival	Surf Revival
swampblues	Swamp Blues
swamppop	Swamp Pop
swedishfolk	Swedish Folk
swedishpop/rock	Swedish Pop/Rock
sweetbands	Sweet Bands
swing	Swing
symphonicblackmetal	Symphonic Black Metal
symphony	Symphony
synthpop	Synth Pop
séga	Séga
taarab	Taarab
tango	Tango
techhouse	Tech-House
techno	Techno
technobass	Techno Bass
technodub	Techno-Dub
teenidols	Teen Idols
teenpop	Teen Pop
tejano	Tejano
texmex	Tex-Mex
texasblues	Texas Blues
thirdstream	Third Stream
thirdwaveskarevival	Third Wave Ska Revival
throatsinging	Throat Singing
townshipjazz	Township Jazz
tradjazz	Trad Jazz
traditionalbluegrass	Traditional Bluegrass
traditionalceltic	Traditional Celtic
traditionalcountry	Traditional Country
traditionaleuropeanfolk	Traditional European Folk
traditionalirishfolk	Traditional Irish Folk
traditionalmiddleeasternfolk	Traditional Middle Eastern Folk
traditionalscottishfolk	Traditional Scottish Folk
trance	Trance
tribalhouse	Tribal House
triphop	Trip-Hop
tropical	Tropical
tropicalia	Tropicalia
trova	Trova
truckdrivingcountry	Truck Driving Country
turntablism	Turntablism
tweepop	Twee Pop
undergroundrap	Underground Rap
uptownsoul	Uptown Soul
urban	Urban
urbanblues	Urban Blues
urbancowboy	Urban Cowboy
urbanfolk	Urban Folk
vallenato	Vallenato
vaudevilleblues	Vaudeville Blues
vaudou	Vaudou
vocaljazz	Vocal Jazz
vocalmusic	Vocal Music
vocalese	Vocalese
westcoastblues	West Coast Blues
westcoastjazz	West Coast Jazz
westcoastrap	West Coast Rap
westerneurope	Western Europe
westernswing	Western Swing
westernswingrevival	Western Swing Revival
worksongs	Work Songs
worldfusion	World Fusion
worldbeat	Worldbeat
yodeling	Yodeling
zouk	Zouk
